"Accession","Description","0hr","2hr","6hr","12hr","24hr","48hr","72hr"
"TAS2R33","taste 2 receptor member 33","0.5","0.9364","0.4466","0.6447","0.9912","0.4437","0.8205"
"BIN2","bridging integrator 2","0.5","0.2532","0.2028","0.2284","0.7437","0.9774","0.2746"
"ARFGEF1","ADP ribosylation factor guanine nucleotide exchange factor 1","0.5","0.3178","0.1124","0.6329","0.1785","0.4489","0.8751"
"IL18","interleukin 18","0.5","0.5202","0.9194","0.6817","0.9805","0.454","0.6063"
"HLCS","holocarboxylase synthetase","0.5","0.3705","0.2241","0.4206","0.4921","0.7141","0.527"
"CCDC175","coiled-coil domain containing 175","0.5","0.5205","0.2379","0.9695","0.8037","0.9707","0.106"
"NTRK1","neurotrophic receptor tyrosine kinase 1","0.5","0.8957","0.4782","0.6443","0.0739","0.5167","0.4221"
"RPF2","ribosome production factor 2 homolog","0.5","0.481","0.8364","0.7964","0.0605","0.0155","0.9735"
"BBS10","Bardet-Biedl syndrome 10","0.5","0.7391","0.0763","0.9638","0.7811","0.3925","0.048"
"FBXO32","F-box protein 32","0.5","0.0286","0.3313","0.6005","0.315","0.8528","0.4104"
"CSTB","cystatin B","0.5","0.2022","0.3273","0.8231","0.626","0.2404","0.8656"
"FZD1","frizzled class receptor 1","0.5","0.1853","0.996","0.3447","0.6708","0.8483","0.8148"
"CCDC36","coiled-coil domain containing 36","0.5","0.241","0.5121","0.917","0.8985","0.8674","0.1026"
"TNFAIP1","TNF alpha induced protein 1","0.5","0.7227","0.1167","0.9869","0.7258","0.7932","0.7043"
"KIR3DL3","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3","0.5","0.6235","0.1088","0.748","0.5318","0.5964","0.1462"
"THPO","thrombopoietin","0.5","0.8878","0.8138","0.3737","0.3437","0.6483","0.5533"
"UBAP1L","ubiquitin associated protein 1 like","0.5","0.6454","0.4247","0.1341","0.5795","0.0941","0.7681"
"PECR","peroxisomal trans-2-enoyl-CoA reductase","0.5","0.0098","0.5181","0.786","0.6103","0.9057","0.2152"
