"Accession","Description","0hr","2hr","6hr","12hr","24hr","48hr","72hr"
"USP35","ubiquitin specific peptidase 35","0.5","0.8783","0.2872","0.3618","0.1162","0.9583","0.016"
"PDYN","prodynorphin","0.5","0.1821","0.713","0.4704","0.7016","0.7801","0.3187"
"DENND2C","DENN domain containing 2C","0.5","0.5682","0.1592","0.8198","0.3052","0.6924","0.494"
"ALDH5A1","aldehyde dehydrogenase 5 family member A1","0.5","0.9458","0.4503","0.016","0.4323","0.8167","0.4699"
"C1orf210","chromosome 1 open reading frame 210","0.5","0.1424","0.6638","0.1302","0.9209","0.4115","0.0502"
"MOG","myelin oligodendrocyte glycoprotein","0.5","0.9462","0.8383","0.7877","0.575","0.9341","0.6163"
"PPP2R5B","protein phosphatase 2 regulatory subunit B'beta","0.5","0.505","0.8221","0.0204","0.0115","0.9161","0.0203"
"SSFA2","sperm specific antigen 2","0.5","0.1932","0.5117","0.2474","0.9988","0.2755","0.3326"
"ODF3B","outer dense fiber of sperm tails 3B","0.5","0.3711","0.6565","0.3978","0.4408","0.3883","0.5725"
"MTA1","metastasis associated 1","0.5","0.9013","0.7955","0.93","0.1568","0.4713","0.8231"
"CERK","ceramide kinase","0.5","0.8123","0.2048","0.9269","0.5144","0.7677","0.7031"
"CD28","CD28 molecule","0.5","0.9048","0.5667","0.6709","0.593","0.3121","0.5112"
"OS9","OS9, endoplasmic reticulum lectin","0.5","0.6268","0.9428","0.2433","0.0831","0.7288","0.4054"
"ACTG2","actin, gamma 2, smooth muscle, enteric","0.5","0.1095","0.3085","0.4032","0.1695","0.9297","0.494"
"RCBTB1","RCC1 and BTB domain containing protein 1","0.5","0.8992","0.2837","0.8228","0.4798","0.428","0.7087"
"PDGFA","platelet derived growth factor subunit A","0.5","0.2121","0.5915","0.3739","0.5402","0.3652","0.0193"
"ECEL1","endothelin converting enzyme like 1","0.5","0.0852","0.0444","0.1456","0.363","0.6216","0.9179"
"UGDH","UDP-glucose 6-dehydrogenase","0.5","0.4075","0.6583","0.3108","0.0751","0.8008","0.9553"
"OR5I1","olfactory receptor family 5 subfamily I member 1","0.5","0.2055","0.0875","0.0114","0.6392","0.3394","0.7134"
"GABPB2","GA binding protein transcription factor beta subunit 2","0.5","0.2521","0.3491","0.3088","0.1538","0.3987","0.9927"
"HNRNPF","heterogeneous nuclear ribonucleoprotein F","0.5","0.974","0.9171","0.1928","0.5891","0.3556","0.5866"
"ARHGEF17","Rho guanine nucleotide exchange factor 17","0.5","0.5519","0.1763","0.1703","0.5327","0.0357","0.6933"
"ARHGAP11A","Rho GTPase activating protein 11A","0.5","0.5111","0.4505","0.6404","0.8608","0.2271","0.5917"
"TRIM11","tripartite motif containing 11","0.5","0.9236","0.1316","0.4735","0.9601","0.2326","0.8686"
"BMP10","bone morphogenetic protein 10","0.5","0.4824","0.9394","0.7935","0.7315","0.767","0.5506"
"OR2G6","olfactory receptor family 2 subfamily G member 6","0.5","0.7329","0.0887","0.017","0.1076","0.1509","0.0437"
"ACOT1","acyl-CoA thioesterase 1","0.5","0.9327","0.2564","0.1362","0","0.3797","0.582"
"ATP6V1G1","ATPase H+ transporting V1 subunit G1","0.5","0.4565","0.4003","0.7703","0.7873","0.9821","0.3868"
"HMGCR","3-hydroxy-3-methylglutaryl-CoA reductase","0.5","0.2948","0.5518","0.3174","0.3209","0.1977","0.511"
"KRT26","keratin 26","0.5","0.8756","0.4012","0.5961","0.9103","0.3197","0.5909"
"SERPINB6","serpin family B member 6","0.5","0.576","0.7525","0.6814","0.3159","0.3578","0.6836"
"CABYR","calcium binding tyrosine phosphorylation regulated","0.5","0.6305","0.1968","0.0404","0.4032","0.604","0.8437"
"IZUMO2","IZUMO family member 2","0.5","0.6227","0.0664","0.9553","0.9639","0.8223","0.2589"
"DCTN2","dynactin subunit 2","0.5","0.9913","0.8098","0.2882","0.0652","0.4238","0.0508"
"SMC1B","structural maintenance of chromosomes 1B","0.5","0.9669","0.1222","0.9669","0.2786","0.7145","0.8534"
"PDGFC","platelet derived growth factor C","0.5","0.0462","0.6508","0.3231","0.7615","0.0307","0.1264"
"PCIF1","PDX1 C-terminal inhibiting factor 1","0.5","0.475","0.3647","0.8162","0.3128","0.4037","0.9189"
"TIGD6","tigger transposable element derived 6","0.5","0.131","0.3049","0.6141","0.2191","0.6125","0.9485"
"ALG1","ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase","0.5","0.8366","0.5653","0.2973","0.8325","0.3168","0.7473"
"SLC38A4","solute carrier family 38 member 4","0.5","0.1199","0.2037","0.8054","0.9481","0.1944","0.4236"
"CCL22","C-C motif chemokine ligand 22","0.5","0.2568","0.2217","0.2615","0.1376","0.7552","0.5893"
"CGA","glycoprotein hormones, alpha polypeptide","0.5","0.6063","0.0196","0.1885","0.0812","0.6911","0.5939"
"DYTN","dystrotelin","0.5","0.5678","0.8029","0.8618","0.3663","0.8851","0.5882"
"LUZP4","leucine zipper protein 4","0.5","0.4409","0.0671","0.7916","0.6317","0.1589","0.9791"
"MAST2","microtubule associated serine/threonine kinase 2","0.5","0.0059","0.3142","0.6003","0.5724","0.0024","0.2533"
"JAK3","Janus kinase 3","0.5","0.4754","0.0974","0.9957","0.5298","0.1311","0.4653"
"EMX1","empty spiracles homeobox 1","0.5","0.9042","0.9563","0.0212","0.0926","0.7707","0.6567"
"RGS18","regulator of G protein signaling 18","0.5","0.8594","0.1003","0.1687","0.2177","0.0524","0.2899"
"SLC25A30","solute carrier family 25 member 30","0.5","0.5445","0.4213","0.7523","0.8601","0.6672","0.8386"
"F3","coagulation factor III, tissue factor","0.5","0.0657","0.21","0.101","0.4056","0.0123","0.4474"
"OR1L1","olfactory receptor family 1 subfamily L member 1","0.5","0.8606","0.8726","0.3412","0.1845","0.1824","0.6697"
"NACC2","NACC family member 2","0.5","0.9467","0.0913","0.3149","0.3966","0.9336","0.2482"
"AGGF1","angiogenic factor with G-patch and FHA domains 1","0.5","0.5992","0.68","0.6396","0.6711","0.8994","0.4646"
"BAD","BCL2 associated agonist of cell death","0.5","0.2822","0.56","0.3085","0.7859","0.9425","0.8348"
"TOP3B","topoisomerase (DNA) III beta","0.5","0.8697","0.6894","0.3227","0.2034","0.0889","0.4259"
"RUFY1","RUN and FYVE domain containing 1","0.5","0.4993","0.72","0.8249","0.2486","0.5648","0.6437"
"MIOX","myo-inositol oxygenase","0.5","0.854","0.7794","0.4921","0.6123","0.6543","0.8708"
"TSPY2","testis specific protein, Y-linked 2","0.5","0.3392","0.8272","0.1649","0.4404","0.4601","0.1525"
"WDR25","WD repeat domain 25","0.5","0.0624","0.3768","0.1206","0.0047","0.4661","0.0407"
"TRIM67","tripartite motif containing 67","0.5","0.236","0.7914","0.4025","0.865","0.4209","0.8736"
"TNFRSF11A","TNF receptor superfamily member 11a","0.5","0.3848","0.7562","0.8917","0.0497","0.7921","0.5886"
"SPATA1","spermatogenesis associated 1","0.5","0.1627","0.7067","0.1719","0.4781","0.5351","0.5028"
"DZIP1L","DAZ interacting zinc finger protein 1 like","0.5","0.41","0.8226","0.3172","0.2518","0.2241","0.0056"
"IGSF8","immunoglobulin superfamily member 8","0.5","0.4159","0.3449","0.4004","0.8229","0.8953","0.3596"
"KIF2C","kinesin family member 2C","0.5","0.6234","0.2011","0.6372","0.3406","0.7496","0.8124"
"CEP290","centrosomal protein 290","0.5","0.4748","0.8022","0.426","0.443","0.7761","0.8363"
"MGAT4D","MGAT4 family member D","0.5","0.0212","0.4681","0.6083","0.7403","0.519","0.1177"
"BMF","Bcl2 modifying factor","0.5","0.7228","0.9776","0.2796","0.488","0.9064","0.2631"
"CCDC88B","coiled-coil domain containing 88B","0.5","0.3687","0.5876","0.4418","0.7798","0.3925","0.8909"
"RHBDD3","rhomboid domain containing 3","0.5","0.388","0.9456","0.9424","0.4708","0.1318","0.9368"
"ZNF474","zinc finger protein 474","0.5","0.7004","0.4006","0.0724","0.8381","0.9269","0.4258"
"GRTP1","growth hormone regulated TBC protein 1","0.5","0.3445","0.7385","0.2709","0.5499","0.6769","0.0839"
"PIWIL3","piwi like RNA-mediated gene silencing 3","0.5","0.972","0.3917","0.6147","0.1775","0.0308","0.5409"
"VN1R3","vomeronasal 1 receptor 3 (gene/pseudogene)","0.5","0.6439","0.0961","0.7594","0.9726","0.6176","0.1633"
"CD300C","CD300c molecule","0.5","0.7463","0.5382","0.9973","0.3894","0.8806","0.0138"
"IFT27","intraflagellar transport 27","0.5","0.5768","0.9677","0.4422","0.8756","0.7748","0.1956"
"ABLIM1","actin binding LIM protein 1","0.5","0.7186","0.7834","0.7961","0.1542","0.4212","0.9988"
"GSX1","GS homeobox 1","0.5","0.6417","0.3642","0.1474","0.0218","0.6362","0.9622"
"TAF13","TATA-box binding protein associated factor 13","0.5","0.2418","0.5263","0.105","0.4647","0.6434","0.4336"
"EVC2","EvC ciliary complex subunit 2","0.5","0.3805","0.1807","0.7774","0.942","0.8086","0.569"
"PNRC2","proline rich nuclear receptor coactivator 2","0.5","0.8181","0.9949","0.7939","0.5125","4e-04","0.7192"
"TMPRSS6","transmembrane protease, serine 6","0.5","0.0414","0.7966","0.5977","0.1417","0.5304","0.8664"
"KBTBD8","kelch repeat and BTB domain containing 8","0.5","0.7269","0.3684","0.2861","0.9271","0.95","0.5763"
"RNF187","ring finger protein 187","0.5","0.2565","0.5722","0.6003","0.7652","0.4732","0.5229"
"DPH3","diphthamide biosynthesis 3","0.5","0.8974","0.6528","0.5079","0.3221","0.787","0.8229"
"IL36RN","interleukin 36 receptor antagonist","0.5","0.7041","0.663","0.7237","0.7047","0.3166","0.4057"
"OR8U9","olfactory receptor family 8 subfamily U member 9","0.5","0.3787","0.9254","0.9701","0.1549","0.4282","0.6217"
"PINLYP","phospholipase A2 inhibitor and LY6/PLAUR domain containing","0.5","0.9101","0.9608","0.4613","0.6766","0.7778","0.2839"
"PEBP4","phosphatidylethanolamine binding protein 4","0.5","0.956","0.1946","0.2447","0.4116","0.6491","0.105"
"HDAC11","histone deacetylase 11","0.5","0.8595","0.7355","0.0974","0.2609","0.2463","0.0144"
"OR4E2","olfactory receptor family 4 subfamily E member 2","0.5","0.5037","0.3747","0.3961","0.5406","0.6838","0.9122"
