"Gene name","Description","Control","Stimulus1","Stimulus2"
"RNF38","ring finger protein 38","1","29","5"
"OR2D3","olfactory receptor family 2 subfamily D member 3","1","18","1"
"ZNF74","zinc finger protein 74","1","17","5"
"FGD1","FYVE, RhoGEF and PH domain containing 1","1","8","7"
"TEN1","TEN1, CST complex subunit","1","12","4"
"SLC22A5","solute carrier family 22 member 5","1","20","20"
"HARBI1","harbinger transposase derived 1","1","3","23"
"RLN2","relaxin 2","1","29","23"
"RSAD1","radical S-adenosyl methionine domain containing 1","1","14","22"
"TRIM37","tripartite motif containing 37","1","9","7"
"WWOX","WW domain containing oxidoreductase","1","28","11"
"OR6F1","olfactory receptor family 6 subfamily F member 1","1","0","0"
"LINGO2","leucine rich repeat and Ig domain containing 2","1","0","0"
"PTF1A","pancreas specific transcription factor, 1a","15","1","18"
"NCOA7","nuclear receptor coactivator 7","24","1","15"
"NSUN6","NOP2/Sun RNA methyltransferase family member 6","2","1","27"
"IER2","immediate early response 2","2","1","29"
"OR4F4","olfactory receptor family 4 subfamily F member 4","25","1","27"
"SYNM","synemin","11","1","29"
"AFTPH","aftiphilin","14","1","28"
"SPOCK2","SPARC/osteonectin, cwcv and kazal like domains proteoglycan 2","7","1","16"
"AGO1","argonaute 1, RISC catalytic component","30","1","16"
"MEIKIN","meiotic kinetochore factor","30","1","12"
"CTU1","cytosolic thiouridylase subunit 1","30","1","29"
"SMIM20","small integral membrane protein 20","26","1","15"
"CYFIP1","cytoplasmic FMR1 interacting protein 1","13","1","1"
"DNAAF4","dynein axonemal assembly factor 4","8","1","8"
"RHCG","Rh family C glycoprotein","6","1","21"
"WDR31","WD repeat domain 31","24","11","1"
"CDC42BPB","CDC42 binding protein kinase beta","3","11","1"
"CBARP","CACN beta subunit associated regulatory protein","11","10","1"
"CCDC42","coiled-coil domain containing 42","12","26","1"
"ESPL1","extra spindle pole bodies like 1, separase","17","7","1"
"HIBCH","3-hydroxyisobutyryl-CoA hydrolase","25","10","1"
"DUSP4","dual specificity phosphatase 4","26","4","1"
"ADH7","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide","25","17","1"
"GPR171","G protein-coupled receptor 171","16","28","1"
"TRIM6-TRIM34","TRIM6-TRIM34 readthrough","18","11","1"
"GEMIN5","gem nuclear organelle associated protein 5","17","15","1"
"ACVR1B","activin A receptor type 1B","5","18","1"
"MGAM","maltase-glucoamylase","18","22","1"
"REEP5","receptor accessory protein 5","14","12","1"
"SDHAF2","succinate dehydrogenase complex assembly factor 2","7","9","1"
"ID1","inhibitor of DNA binding 1, HLH protein","0","0","1"
"FOXI2","forkhead box I2","0","0","1"
"TTC30A","tetratricopeptide repeat domain 30A","2","6","9"
"LEKR1","leucine, glutamate and lysine rich 1","2","16","14"
"CTTN","cortactin","2","26","25"
"SSSCA1","Sjogren syndrome/scleroderma autoantigen 1","2","24","14"
"EBLN1","endogenous Bornavirus-like nucleoprotein 1","2","9","14"
"PCSK9","proprotein convertase subtilisin/kexin type 9","2","26","19"
"B3GNT8","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8","2","0","0"
